granted by,iOS,Category,Android,granted by,protection level
,,DeviceManagement,MANAGE_DEVICE_POLICY_SYSTEM_APPS,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_SYSTEM_DIALOGS,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_SYSTEM_UPDATES,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_THREAD_NETWORK,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_TIME,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_USB_DATA_SIGNALLING,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_USB_FILE_TRANSFER,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_USERS,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_VPN,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_WALLPAPER,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_WIFI,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_WINDOWS,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_WIPE_DATA,devicemanager,
,,DeviceManagement,MANAGE_DEVICE_POLICY_APP_FUNCTIONS,devicemanager,
user,NSHealthClinicalHealthRecordsShareUsageDescription,Health,BODY_SENSORS,user,dangerous
user,NSHealthShareUsageDescription,Health,BODY_SENSORS_BACKGROUND,user,dangerous
user,NSHealthUpdateUsageDescription,Health,FOREGROUND_SERVICE_HEALTH,device,normal
user,NSHealthRequiredReadAuthorizationTypeIdentifiers,Health,READ_ACTIVE_CALORIES_BURNED,user,dangerous
device,com.apple.developer.healthkit,Health,READ_ACTIVITY_INTENSITY,user,dangerous
device,com.apple.developer.healthkit.access,Health,READ_BASAL_BODY_TEMPERATURE,user,dangerous
device,com.apple.developer.healthkit.background-delivery,Health,READ_BASAL_METABOLIC_RATE,user,dangerous
vendor,com.apple.developer.healthkit.recalibrate-estimates,Health,READ_BLOOD_GLUCOSE,user,dangerous
device,com.apple.developer.health.fall-detection,Health,READ_BLOOD_PRESSURE,user,dangerous
,,Health,READ_BODY_FAT,user,dangerous
,,Health,READ_BODY_TEMPERATURE,user,dangerous
,,Health,READ_BODY_WATER_MASS,user,dangerous
,,Health,READ_BONE_MASS,user,dangerous
,,Health,READ_CERVICAL_MUCUS,user,dangerous
,,Health,READ_DISTANCE,user,dangerous
,,Health,READ_ELEVATION_GAINED,user,dangerous
,,Health,READ_EXERCISE,user,dangerous
,,Health,READ_EXERCISE_ROUTES,user,dangerous
,,Health,READ_FLOORS_CLIMBED,user,dangerous
,,Health,READ_HEALTH_DATA_HISTORY,user,dangerous
,,Health,READ_HEALTH_DATA_IN_BACKGROUND,user,dangerous
,,Health,READ_HEART_RATE,user,dangerous
,,Health,READ_HEART_RATE_VARIABILITY,user,dangerous
,,Health,READ_HEIGHT,user,dangerous
,,Health,READ_HYDRATION,user,dangerous
,,Health,READ_INTERMENSTRUAL_BLEEDING,user,dangerous
,,Health,READ_LEAN_BODY_MASS,user,dangerous
,,Health,READ_MEDICAL_DATA_ALLERGIES_INTOLERANCES,user,dangerous
,,Health,READ_MEDICAL_DATA_CONDITIONS,user,dangerous
,,Health,READ_MEDICAL_DATA_LABORATORY_RESULTS,user,dangerous
,,Health,READ_MEDICAL_DATA_MEDICATIONS,user,dangerous
,,Health,READ_MEDICAL_DATA_PERSONAL_DETAILS,user,dangerous
,,Health,READ_MEDICAL_DATA_PRACTITIONER_DETAILS,user,dangerous
,,Health,READ_MEDICAL_DATA_PREGNANCY,user,dangerous
,,Health,READ_MEDICAL_DATA_PROCEDURES,user,dangerous
,,Health,READ_MEDICAL_DATA_SOCIAL_HISTORY,user,dangerous
,,Health,READ_MEDICAL_DATA_VACCINES,user,dangerous
,,Health,READ_MEDICAL_DATA_VISITS,user,dangerous
,,Health,READ_MEDICAL_DATA_VITAL_SIGNS,user,dangerous
,,Health,READ_MENSTRUATION,user,dangerous
,,Health,READ_MINDFULNESS,user,dangerous
,,Health,READ_NUTRITION,user,dangerous
,,Health,READ_OVULATION_TEST,user,dangerous
,,Health,READ_OXYGEN_SATURATION,user,dangerous
,,Health,READ_PLANNED_EXERCISE,user,dangerous
,,Health,READ_POWER,user,dangerous
,,Health,READ_RESPIRATORY_RATE,user,dangerous
,,Health,READ_RESTING_HEART_RATE,user,dangerous
,,Health,READ_SEXUAL_ACTIVITY,user,dangerous
,,Health,READ_SKIN_TEMPERATURE,user,dangerous
,,Health,READ_SLEEP,user,dangerous
,,Health,READ_SPEED,user,dangerous
,,Health,READ_STEPS,user,dangerous
,,Health,READ_TOTAL_CALORIES_BURNED,user,dangerous
,,Health,READ_VO2_MAX,user,dangerous
,,Health,READ_WEIGHT,user,dangerous
,,Health,READ_WHEELCHAIR_PUSHES,user,dangerous
,,Health,WRITE_ACTIVE_CALORIES_BURNED,user,dangerous
,,Health,WRITE_ACTIVITY_INTENSITY,user,dangerous
,,Health,WRITE_BASAL_BODY_TEMPERATURE,user,dangerous
,,Health,WRITE_BASAL_METABOLIC_RATE,user,dangerous
,,Health,WRITE_BLOOD_GLUCOSE,user,dangerous
,,Health,WRITE_BLOOD_PRESSURE,user,dangerous
,,Health,WRITE_BODY_FAT,user,dangerous
,,Health,WRITE_BODY_TEMPERATURE,user,dangerous
,,Health,WRITE_BODY_WATER_MASS,user,dangerous
,,Health,WRITE_BONE_MASS,user,dangerous
,,Health,WRITE_CERVICAL_MUCUS,user,dangerous
,,Health,WRITE_DISTANCE,user,dangerous
,,Health,WRITE_ELEVATION_GAINED,user,dangerous
,,Health,WRITE_EXERCISE,user,dangerous
,,Health,WRITE_EXERCISE_ROUTE,user,dangerous
,,Health,WRITE_FLOORS_CLIMBED,user,dangerous
,,Health,WRITE_HEART_RATE,user,dangerous
,,Health,WRITE_HEART_RATE_VARIABILITY,user,dangerous
,,Health,WRITE_HEIGHT,user,dangerous
,,Health,WRITE_HYDRATION,user,dangerous
,,Health,WRITE_INTERMENSTRUAL_BLEEDING,user,dangerous
,,Health,WRITE_LEAN_BODY_MASS,user,dangerous
,,Health,WRITE_MEDICAL_DATA,user,dangerous
,,Health,WRITE_MENSTRUATION,user,dangerous
,,Health,WRITE_MINDFULNESS,user,dangerous
,,Health,WRITE_NUTRITION,user,dangerous
,,Health,WRITE_OVULATION_TEST,user,dangerous
,,Health,WRITE_OXYGEN_SATURATION,user,dangerous
,,Health,WRITE_PLANNED_EXERCISE,user,dangerous
,,Health,WRITE_POWER,user,dangerous
,,Health,WRITE_RESPIRATORY_RATE,user,dangerous
,,Health,WRITE_RESTING_HEART_RATE,user,dangerous
,,Health,WRITE_SEXUAL_ACTIVITY,user,dangerous
,,Health,WRITE_SKIN_TEMPERATURE,user,dangerous
,,Health,WRITE_SLEEP,user,dangerous
,,Health,WRITE_SPEED,user,dangerous
,,Health,WRITE_STEPS,user,dangerous
,,Health,WRITE_TOTAL_CALORIES_BURNED,user,dangerous
,,Health,WRITE_VO2_MAX,user,dangerous
,,Health,WRITE_WEIGHT,user,dangerous
,,Health,WRITE_WHEELCHAIR_PUSHES,user,dangerous
